"Fish_ID","Age","Length"
1,0,5.05882329855006
1,0.5,15.8995134482682
1,1,25.7608655736347
1,1.5,34.7313521752648
1,2,42.8914532290577
1,2.5,50.3143782235626
1,3,57.0667229691506
1,3.5,63.209067071647
1,4,68.7965174307425
1,4.5,73.8792026392556
1,5,78.5027227188183
1,5.5,82.7085582268515
1,6,86.5344424051908
1,6.5,90.014699709146
1,7,93.1805537541556
1,7.5,96.0604074428221
1,8,98.6800977855273
1,8.5,101.063127700787
1,9,103.230876874973
1,9.5,105.202793573161
1,10,106.996569121966
1,10.5,108.628296629748
1,11,110.112615368191
1,11.5,111.462842110576
1,12,112.691090605078
1,12.5,113.808380254949
1,13,114.824734980638
1,13.5,115.749273150799
1,14,116.590289389008
1,14.5,117.355328990139
1,15,118.051255614036
2,0,4.5262626929076
2,0.5,16.6293977209754
2,1,27.5118171031462
2,1.5,37.2966415585297
2,2,46.0945739171678
2,2.5,54.0051515816026
2,3,61.1178726658484
2,3.5,67.5132085525974
2,4,73.2635143244534
2,4.5,78.4338473695639
2,5,83.0827034231323
2,5.5,87.2626783721808
2,6,91.0210633110437
2,6.5,94.4003795798857
2,7,97.4388598395248
2,7.5,100.170880625309
2,8,102.627351273845
2,8.5,104.836063622784
2,9,106.822006440078
2,9.5,108.607648140073
2,10,110.213190985013
2,10.5,111.656799647905
2,11,112.954806722675
2,11.5,114.121897506667
2,12,115.171276146087
2,12.5,116.114815024103
2,13,116.963189081745
2,13.5,117.725996591271
2,14,118.411867748395
2,14.5,119.028562311965
2,15,119.583057395752
3,0,4.75472127814967
3,0.5,15.9842390326623
3,1,26.162906212184
3,1.5,35.3890606932915
3,2,43.75183796147
3,2.5,51.3320322645647
3,3,58.2028771800823
3,3.5,64.4307531375391
3,4,70.0758287313527
3,4.5,75.192642020114
3,5,79.8306274282696
3,5.5,84.0345933407081
3,6,87.8451550043708
3,6.5,91.2991269192272
3,7,94.4298785095713
3,7.5,97.2676565118426
3,8,99.839877193615
3,8.5,102.171391226933
3,9,104.284723774985
3,9.5,106.200292111623
3,10,107.936602876209
3,10.5,109.510430869477
3,11,110.936981117803
3,11.5,112.230035771618
3,12,113.402087257162
3,12.5,114.464458967989
3,13,115.427414662243
3,13.5,116.300257622619
3,14,117.091420536991
3,14.5,117.808546968083
3,15,118.458565199257
